general n random test, ordered3 spine-build strict-pop
n,reps,ordered,obuild,opop,weak,binary,alpha_o,o_minus_lower_per_n,sorted
1,2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,2000,1.000000,1.000000,0.000000,2.000000,1.000000,0.500000,0.000000,1
3,2000,2.663500,2.663500,0.000000,4.000000,3.000000,0.697129,0.026179,1
4,2000,5.418000,4.418000,1.000000,6.478500,6.521500,0.645500,0.208259,1
5,2000,8.153500,6.759000,1.394500,9.634500,10.960500,0.691228,0.249322,1
6,2000,11.218500,8.690000,2.528500,12.981000,15.098000,0.715213,0.287774,1
7,2000,12.993000,9.488000,3.505000,16.428000,19.823500,0.951212,0.099113,1
8,2000,18.489500,13.112000,5.377500,20.115500,25.845000,0.688813,0.398786,1
9,2000,22.504500,16.074000,6.430500,24.240000,32.485500,0.669425,0.448374,1
10,2000,26.735500,18.322500,8.413000,28.469000,38.597000,0.648378,0.494444,1
11,2000,28.909000,18.669500,10.239500,32.832000,45.343500,0.831341,0.332592,1
12,2000,33.959500,21.533000,12.426500,37.383500,51.803000,0.755004,0.427004,1
13,2000,38.541500,24.563000,13.978500,41.880000,58.929500,0.735709,0.461970,1
14,2000,43.380000,27.106000,16.274000,46.479500,65.414000,0.708783,0.502625,1
15,2000,42.919500,24.637000,18.282500,51.177500,72.473500,1.045591,0.177957,1
16,2000,53.359500,32.451000,20.908500,55.882500,80.791000,0.665031,0.569335,1
17,2000,58.647500,35.700500,22.947000,60.951000,89.573500,0.637610,0.606465,1
31,500,119.700000,55.960000,63.740000,138.140000,212.620000,1.092906,0.226991,1
32,500,138.398000,71.176000,67.222000,143.952000,223.058000,0.675062,0.647961,1
33,500,144.772000,74.456000,70.316000,150.012000,233.600000,0.657364,0.668616,1
63,500,306.016000,119.820000,186.196000,345.614000,559.054000,1.119883,0.254299,1
64,500,337.478000,146.514000,190.964000,352.654000,571.460000,0.726906,0.648170,1
65,500,344.632000,150.252000,194.380000,359.958000,584.648000,0.720337,0.655608,1
100,500,577.604000,213.746000,363.858000,618.792000,1026.988000,0.867816,0.528390,1
127,500,744.550000,248.952000,495.598000,826.844000,1382.474000,1.126086,0.278648,1
128,500,791.384000,290.412000,500.972000,834.796000,1396.776000,0.817312,0.587674,1
129,500,798.926000,293.602000,505.324000,842.482000,1412.288000,0.818002,0.587233,1
255,200,1750.595000,508.170000,1242.425000,1919.110000,3288.485000,1.129275,0.292544,1
256,200,1817.125000,568.415000,1248.710000,1926.880000,3305.825000,0.901855,0.520034,1
257,200,1827.940000,574.120000,1253.820000,1936.075000,3324.220000,0.893018,0.528942,1
511,200,4021.325000,1028.845000,2992.480000,4358.405000,7616.530000,1.127659,0.303638,1
512,200,4116.750000,1118.005000,2998.745000,4369.610000,7636.660000,0.959473,0.471844,1
513,200,4118.865000,1114.005000,3004.860000,4380.410000,7652.895000,0.973838,0.457497,1
1000,80,8876.112500,2056.450000,6819.662500,9506.362500,16846.912500,1.089672,0.346714,1
1023,80,9071.200000,2068.812500,7002.387500,9753.312500,17297.375000,1.131337,0.305175,1
1024,80,9191.650000,2185.050000,7006.600000,9763.225000,17316.562500,1.023779,0.412738,1
1025,80,9211.875000,2193.962500,7017.912500,9777.550000,17339.837500,1.014213,0.422310,1
4095,20,44503.700000,8311.650000,36192.050000,47245.750000,85608.500000,1.131833,0.309073,1
4096,20,44706.750000,8515.350000,36191.400000,47271.900000,85664.400000,1.085266,0.355640,1
4097,20,44724.350000,8514.750000,36209.600000,47274.450000,85675.700000,1.083987,0.356920,1
