padded sentinel ordered3 general n
n,reps,ordered,obuild,opop,alpha,o_minus_lower_per_n,sorted
2,2000,1.000000,1.000000,0.000000,0.500000,0.000000,1
3,2000,2.663500,2.663500,0.000000,0.697129,0.026179,1
4,2000,4.844000,4.182500,0.661500,0.789000,0.064759,1
5,2000,7.645000,6.407000,1.238000,0.792928,0.147622,1
6,2000,9.969000,7.469000,2.500000,0.923463,0.079524,1
7,2000,12.993000,9.488000,3.505000,0.951212,0.099113,1
8,2000,16.328500,11.229000,5.099500,0.958937,0.128661,1
9,2000,20.313000,13.853500,6.459500,0.912925,0.204874,1
10,2000,23.642500,15.043500,8.599000,0.957678,0.185144,1
15,2000,42.909000,24.658500,18.250500,1.046291,0.177257,1
16,2000,46.908500,26.129500,20.779000,1.068219,0.166147,1
17,2000,52.240500,29.017000,23.223500,1.014492,0.229582,1
31,500,119.808000,56.116000,63.692000,1.089422,0.230475,1
32,500,124.404000,57.132000,67.272000,1.112375,0.210648,1
33,500,130.836000,60.278000,70.558000,1.079667,0.246313,1
63,500,306.398000,120.068000,186.330000,1.113820,0.260363,1
64,500,310.860000,120.260000,190.600000,1.142813,0.232263,1
65,500,318.202000,123.118000,195.084000,1.126952,0.248992,1
100,500,558.308000,193.992000,364.316000,1.060776,0.335430,1
127,500,744.690000,248.828000,495.862000,1.124984,0.279750,1
128,500,749.378000,247.976000,501.402000,1.145484,0.259502,1
129,500,757.278000,250.986000,506.292000,1.140855,0.264380,1
255,200,1750.680000,507.915000,1242.765000,1.128942,0.292877,1
256,200,1752.630000,503.770000,1248.860000,1.153789,0.268100,1
257,200,1761.715000,506.570000,1255.145000,1.150702,0.271257,1
511,200,4018.740000,1027.315000,2991.425000,1.132718,0.298579,1
512,200,4016.230000,1016.195000,3000.035000,1.155801,0.275515,1
513,200,4024.510000,1019.365000,3005.145000,1.157766,0.273569,1
1000,80,8839.662500,2019.250000,6820.412500,1.126122,0.310264,1
1023,80,9069.625000,2069.087500,7000.537500,1.132877,0.303635,1
1024,80,9051.125000,2040.775000,7010.350000,1.161011,0.275507,1
1025,80,9065.637500,2046.075000,7019.562500,1.156884,0.279639,1
4095,20,44498.500000,8306.900000,36191.600000,1.133103,0.307803,1
4096,20,44395.000000,8210.100000,36184.900000,1.161377,0.279530,1
4097,20,44434.100000,8220.500000,36213.600000,1.154831,0.286076,1
