SPINE INSERT BUILD EXPERIMENT
Compare original always-left build vs spine-binary-insert build; same strict pop.

n,reps,orig_total,orig_build,orig_pop,spine_total,spine_build,spine_pop,weak_total,binary_total,spine_minus_orig,spine_build_minus_orig_build,sorted
15,200,43.665000,25.425000,18.240000,42.740000,24.500000,18.240000,51.080000,72.445000,-0.925000,-0.925000,1
31,200,122.115000,58.710000,63.405000,119.510000,56.105000,63.405000,138.140000,213.065000,-2.605000,-2.605000,1
63,200,312.640000,126.540000,186.100000,305.975000,119.875000,186.100000,345.795000,559.295000,-6.665000,-6.665000,1
127,200,759.995000,263.775000,496.220000,744.750000,248.530000,496.220000,826.750000,1381.390000,-15.245000,-15.245000,1
255,200,1784.195000,541.660000,1242.535000,1750.585000,508.050000,1242.535000,1918.130000,3287.990000,-33.610000,-33.610000,1
511,200,4088.335000,1097.680000,2990.655000,4017.895000,1027.240000,2990.655000,4359.000000,7614.515000,-70.440000,-70.440000,1
1023,200,9218.715000,2216.115000,7002.600000,9070.600000,2068.000000,7002.600000,9754.455000,17298.130000,-148.115000,-148.115000,1
2047,80,20499.412500,4451.350000,16048.062500,20198.000000,4149.937500,16048.062500,21571.825000,38716.175000,-301.412500,-301.412500,1
4095,80,45105.112500,8919.137500,36185.975000,44501.187500,8315.212500,36185.975000,47250.700000,85631.025000,-603.925000,-603.925000,1
8191,80,98432.562500,17873.737500,80558.825000,97209.700000,16650.875000,80558.825000,102709.087500,187677.212500,-1222.862500,-1222.862500,1
16383,30,213272.266667,35774.066667,177498.200000,210815.400000,33317.200000,177498.200000,221811.833333,408148.500000,-2456.866667,-2456.866667,1
32767,30,459331.866667,71570.533333,387761.333333,454403.900000,66642.566667,387761.333333,476410.933333,881857.566667,-4927.966667,-4927.966667,1
65535,10,984212.200000,143166.300000,841045.900000,974363.100000,133317.200000,841045.900000,1018414.000000,1894826.800000,-9849.100000,-9849.100000,1
131071,10,2099496.800000,286382.600000,1813114.200000,2079760.300000,266646.100000,1813114.200000,2167891.500000,4051761.200000,-19736.500000,-19736.500000,1
262143,3,4461321.333333,572661.333333,3888660.000000,4421855.333333,533195.333333,3888660.000000,4598057.000000,8627719.666667,-39466.000000,-39466.000000,1
524287,3,9446391.000000,1145324.666667,8301066.333333,9367588.000000,1066521.666667,8301066.333333,9720554.000000,18304236.333333,-78803.000000,-78803.000000,1
